frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D,pressed_buttons
87,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
88,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
89,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
90,160,160,20,0,0,90,0,0,0,0,0,0,0,0,1,0,0,B
91,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
92,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
93,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
94,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
95,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
96,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
97,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
98,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
99,160,160,20,0,0,90,0,0,0,0,0,0,0,0,0,0,0,-
